Title,Subtitle,Authors,ISBN,LCC,Publish Date,Description,Thumbnail,Small,Medium,Large,Preview
File system forensic analysis,"",Brian Carrier,9780321268174,QA76.9.A25 C369 2005,2005,Moves beyond the basics and shows how to use tools to recover and analyse forensic evidence.,http://bks4.books.google.com/books?id=I4gpAQAAMAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,http://bks4.books.google.com/books?id=I4gpAQAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://bks4.books.google.com/books?id=I4gpAQAAMAAJ&printsec=frontcover&img=1&zoom=2&source=gbs_api,http://bks4.books.google.com/books?id=I4gpAQAAMAAJ&printsec=frontcover&img=1&zoom=3&source=gbs_api,http://books.google.com/books?id=I4gpAQAAMAAJ&dq=isbn:9780321268174&hl=&cd=1&source=gbs_api
Rootkits,Subverting the Windows Kernel,"Greg Hoglund, James Butler",9780321294319,QA76.9.A25 H637 2006,2006,"A guide to rootkits describes what they are, how they work, how to build them, and how to detect them.",http://bks2.books.google.com/books?id=fDxg1W3eT2gC&printsec=frontcover&img=1&zoom=5&edge=none&source=gbs_api,http://bks2.books.google.com/books?id=fDxg1W3eT2gC&printsec=frontcover&img=1&zoom=1&edge=none&source=gbs_api,http://bks2.books.google.com/books?id=fDxg1W3eT2gC&printsec=frontcover&img=1&zoom=2&edge=none&source=gbs_api,http://bks2.books.google.com/books?id=fDxg1W3eT2gC&printsec=frontcover&img=1&zoom=3&edge=none&source=gbs_api,http://books.google.com/books?id=fDxg1W3eT2gC&printsec=frontcover&dq=isbn:9780321294319&hl=&cd=1&source=gbs_api
Writing secure code,"","Michael Howard, David LeBlanc",9780735617223,QA76.9.A25 H698 2003,2003,"Covers topics such as the importance of secure systems, threat modeling, canonical representation issues, solving database input, denial-of-service attacks, and security code reviews and checklists.",http://bks6.books.google.com/books?id=Uafp7m2wPcMC&printsec=frontcover&img=1&zoom=5&source=gbs_api,http://bks6.books.google.com/books?id=Uafp7m2wPcMC&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://bks6.books.google.com/books?id=Uafp7m2wPcMC&printsec=frontcover&img=1&zoom=2&source=gbs_api,http://bks6.books.google.com/books?id=Uafp7m2wPcMC&printsec=frontcover&img=1&zoom=3&source=gbs_api,http://books.google.com/books?id=Uafp7m2wPcMC&dq=isbn:9780735617223&hl=&cd=1&source=gbs_api
Improving Web Application Security,Threats and Countermeasures,"",9780735618428,QA76.9.A25.I46 2003,2003,"Gain a solid foundation for designing, building, and configuring security-enhanced, hack-resistant Microsoft® ASP.NET Web applications. This expert guide describes a systematic, task-based approach to security that can be applied to both new and existing applications. It addresses security considerations at the network, host, and application layers for each physical tier--Web server, remote application server, and database server--detailing the security configurations and countermeasures that can help mitigate risks. The information is organized into sections that correspond to both the product life cycle and the roles involved, making it easy for architects, designers, and developers to find the answers they need. All PATTERNS & PRACTICES guides are reviewed and approved by Microsoft engineering teams, consultants, partners, and customers--delivering accurate, real-world information that's been technically validated and tested.",http://bks1.books.google.com/books?id=Spti0mHhlsUC&printsec=frontcover&img=1&zoom=5&edge=none&source=gbs_api,http://bks1.books.google.com/books?id=Spti0mHhlsUC&printsec=frontcover&img=1&zoom=1&edge=none&source=gbs_api,http://bks1.books.google.com/books?id=Spti0mHhlsUC&printsec=frontcover&img=1&zoom=2&edge=none&source=gbs_api,http://bks1.books.google.com/books?id=Spti0mHhlsUC&printsec=frontcover&img=1&zoom=3&edge=none&source=gbs_api,http://books.google.com/books?id=Spti0mHhlsUC&printsec=frontcover&dq=isbn:9780735618428&hl=&cd=1&source=gbs_api
Protect Your Windows Network,From Perimeter to Data,"Jesper M. Johansson, Steve Riley",9780321336439,QA76.9.A25 J62 2005,2005,"A revolutionary, soups-to-nuts approach to network security from two of Microsoft's leading security experts.",http://bks8.books.google.com/books?id=yZX2uAoAagwC&printsec=frontcover&img=1&zoom=5&edge=none&source=gbs_api,http://bks8.books.google.com/books?id=yZX2uAoAagwC&printsec=frontcover&img=1&zoom=1&edge=none&source=gbs_api,http://bks8.books.google.com/books?id=yZX2uAoAagwC&printsec=frontcover&img=1&zoom=2&edge=none&source=gbs_api,http://bks8.books.google.com/books?id=yZX2uAoAagwC&printsec=frontcover&img=1&zoom=3&edge=none&source=gbs_api,http://books.google.com/books?id=yZX2uAoAagwC&printsec=frontcover&dq=isbn:9780321336439&hl=&cd=1&source=gbs_api
Software Security,Building Security in,Gary McGraw,9780321356703,QA76.9.A25 M4286 2006,2006,"Describes how to put software security into practice, covering such topics as risk management frameworks, architectural risk analysis, security testing, and penetration testing.",http://bks8.books.google.com/books?id=HCQdypbpZXgC&printsec=frontcover&img=1&zoom=5&edge=none&source=gbs_api,http://bks8.books.google.com/books?id=HCQdypbpZXgC&printsec=frontcover&img=1&zoom=1&edge=none&source=gbs_api,http://bks8.books.google.com/books?id=HCQdypbpZXgC&printsec=frontcover&img=1&zoom=2&edge=none&source=gbs_api,http://bks8.books.google.com/books?id=HCQdypbpZXgC&printsec=frontcover&img=1&zoom=3&edge=none&source=gbs_api,http://books.google.com/books?id=HCQdypbpZXgC&printsec=frontcover&dq=isbn:9780321356703&hl=&cd=1&source=gbs_api
Security for Microsoft Visual Basic .NET,"","Ed Robinson, Michael Bond",9780735619197,QA76.9.A25 R635 2003,2003-05-08,"This resource is an end-to-end guide, with clear prescriptive guidance for best practices, application design, and coding techniques for Windows and Web-based applications. It makes writing secure applications easier than ever before. (Computer Books)",http://bks1.books.google.com/books?id=xNZQAAAAMAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,http://bks1.books.google.com/books?id=xNZQAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://bks1.books.google.com/books?id=xNZQAAAAMAAJ&printsec=frontcover&img=1&zoom=2&source=gbs_api,http://bks1.books.google.com/books?id=xNZQAAAAMAAJ&printsec=frontcover&img=1&zoom=3&source=gbs_api,http://books.google.com/books?id=xNZQAAAAMAAJ&dq=isbn:9780735619197&hl=&cd=1&source=gbs_api
Secure coding in C and C++,"",Robert C. Seacord,9780321335722,QA76.9.A25 S368 2006,2006,A code companion developers will turn to again and again as they seek to protect their systems from attackers.,http://bks9.books.google.com/books?id=1dlQAAAAMAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,http://bks9.books.google.com/books?id=1dlQAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://bks9.books.google.com/books?id=1dlQAAAAMAAJ&printsec=frontcover&img=1&zoom=2&source=gbs_api,http://bks9.books.google.com/books?id=1dlQAAAAMAAJ&printsec=frontcover&img=1&zoom=3&source=gbs_api,http://books.google.com/books?id=1dlQAAAAMAAJ&dq=isbn:9780321335722&hl=&cd=1&source=gbs_api
Malware,Fighting Malicious Code,Ed Skoudis,9780131014053,QA76.9.A25 S58 2004,2004,"Describes various types of malware, including viruses, worms, user-level RootKits, and kernel-level manipulation, their haracteristics and attack method, and how to defend against an attack.",http://bks8.books.google.com/books?id=TKEAQmQV7O4C&printsec=frontcover&img=1&zoom=5&edge=none&source=gbs_api,http://bks8.books.google.com/books?id=TKEAQmQV7O4C&printsec=frontcover&img=1&zoom=1&edge=none&source=gbs_api,http://bks8.books.google.com/books?id=TKEAQmQV7O4C&printsec=frontcover&img=1&zoom=2&edge=none&source=gbs_api,http://bks8.books.google.com/books?id=TKEAQmQV7O4C&printsec=frontcover&img=1&zoom=3&edge=none&source=gbs_api,http://books.google.com/books?id=TKEAQmQV7O4C&printsec=frontcover&dq=isbn:9780131014053&hl=&cd=1&source=gbs_api
IT architectures and middleware,"strategies for building large, integrated systems",Chris Britton,9780201709070,QA76.9.A73 B77 2001,2001,"Every year, large organizations find their IT systems becoming more complex, and more diverse -- and the need for effective enterprise integration becomes more urgent. In this book, Chris Britton offers IT architects and decision-makers practical start-to-finish guidance for defining architectures and choosing middleware strategies that integrate the entire enterprise, maximizing flexibility, resiliency, scalability, security, and manageability. IT Architectures and Middleware gives IT professionals expert guidance for identifying key architectural issues, and building complex distributed systems with confidence and foresight. Rather than focusing on a specific technology such as COM, CORBA, or Enterprise Java Beans, Chris Britton starts with the realities of IT in the enterprise: its massive size and accelerating growth rates. Britton helps system architects rise above the hype and evade the vendor crossfire, presenting a quick survey of middleware technology, and offering guidance on the IT structures and middleware technologies most likely to address their business requirements. For all system architects, project managers, IT leaders and strategists.",http://bks8.books.google.com/books?id=uNlQAAAAMAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,http://bks8.books.google.com/books?id=uNlQAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://bks8.books.google.com/books?id=uNlQAAAAMAAJ&printsec=frontcover&img=1&zoom=2&source=gbs_api,http://bks8.books.google.com/books?id=uNlQAAAAMAAJ&printsec=frontcover&img=1&zoom=3&source=gbs_api,http://books.google.com/books?id=uNlQAAAAMAAJ&dq=isbn:9780201709070&hl=&cd=1&source=gbs_api
Distributed Object Architectures with CORBA,"",Henry Balen,9780521654180,QA76.9.A73 D57 2000,2000-02-13,"This book is a guide to creating a software architecture comprised of distributed components. While it is based on OMG's CORBA standard, the principles also apply to architecture built with other technology, such as Microsoft's DCOM.",http://bks7.books.google.com/books?id=M0aIf-3g_sgC&printsec=frontcover&img=1&zoom=5&edge=none&source=gbs_api,http://bks7.books.google.com/books?id=M0aIf-3g_sgC&printsec=frontcover&img=1&zoom=1&edge=none&source=gbs_api,http://bks7.books.google.com/books?id=M0aIf-3g_sgC&printsec=frontcover&img=1&zoom=2&edge=none&source=gbs_api,http://bks7.books.google.com/books?id=M0aIf-3g_sgC&printsec=frontcover&img=1&zoom=3&edge=none&source=gbs_api,http://books.google.com/books?id=M0aIf-3g_sgC&printsec=frontcover&dq=isbn:9780521654180&hl=&cd=1&source=gbs_api
Documenting Software Architectures,Views and Beyond,Paul Clements,9780201703726,QA76.9.A73 D63 2003,2003,"The definitive practitioner's guide to capturing and documenting software architecture. -- Documenting architecture so designers and implementers can use it as a framework for effective development. -- Shows how to document the key information associated with each architectural view -- and package that information in coherent, usable form. -- Works with any language, notation system, or view-based model of software architecture. Architecture is crucial to the success of any large software system -- but even a superb architecture will fail if it isn't communicated well. Now, there's a language- and notation-independent guide to capturing architecture so it can be used successfully by every analyst, software designer, and developer. The authors review the diverse goals and uses of software architecture documentation, providing documentation strategies for several common scenarios. They identify the basic unit of software architecture documentation: the viewtype, which specifies the type of information to be provided in an architectural view. For each viewtype -- Modules, Component-and-Connectors, and Allocation -- they offer detailed guidance on documenting what really matters. Next, they demonstrate how to package architecture documentation in coherent, usable form: augmenting architectural views with documentation of interfaces and behavior; accounting for architectural variability and dynamic systems; and more.",http://bks3.books.google.com/books?id=ASc9HYPkr4sC&printsec=frontcover&img=1&zoom=5&edge=none&source=gbs_api,http://bks3.books.google.com/books?id=ASc9HYPkr4sC&printsec=frontcover&img=1&zoom=1&edge=none&source=gbs_api,http://bks3.books.google.com/books?id=ASc9HYPkr4sC&printsec=frontcover&img=1&zoom=2&edge=none&source=gbs_api,http://bks3.books.google.com/books?id=ASc9HYPkr4sC&printsec=frontcover&img=1&zoom=3&edge=none&source=gbs_api,http://books.google.com/books?id=ASc9HYPkr4sC&printsec=frontcover&dq=isbn:9780201703726&hl=&cd=1&source=gbs_api
Architecting with RM-ODP,"",Janis Putman,9780130191168,QA76.9.A73 P87 2001,2001,"This is the first complete guide to explain RM-0DP's innovations, will show exactly how to use them to archive practical benefits. The breakthrough international standard for software architecture.",http://bks2.books.google.com/books?id=PA7BewHWqJQC&printsec=frontcover&img=1&zoom=5&edge=none&source=gbs_api,http://bks2.books.google.com/books?id=PA7BewHWqJQC&printsec=frontcover&img=1&zoom=1&edge=none&source=gbs_api,http://bks2.books.google.com/books?id=PA7BewHWqJQC&printsec=frontcover&img=1&zoom=2&edge=none&source=gbs_api,http://bks2.books.google.com/books?id=PA7BewHWqJQC&printsec=frontcover&img=1&zoom=3&edge=none&source=gbs_api,http://books.google.com/books?id=PA7BewHWqJQC&printsec=frontcover&dq=isbn:9780130191168&hl=&cd=1&source=gbs_api
Synthesis-based Software Architecture Design,"","Bedir Tekinerdoğan, University of Twente. Department of Computer Science",9789036514309,QA76.9.A73.T45 2000,2000,,,,,,http://books.google.com/books?id=lWLDAAAACAAJ&dq=isbn:9789036514309&hl=&cd=1&source=gbs_api
Computer Organization and the Mc68000,"","Panos E. Livadas, Christopher Ward",9780131589407,QA76.9.C643 L58 1993,1993,Uses the MC68000 microprocessor as a model to introduce the principles of computer organization and assembly language programming,http://bks8.books.google.com/books?id=0pEkAQAAIAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,http://bks8.books.google.com/books?id=0pEkAQAAIAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://bks8.books.google.com/books?id=0pEkAQAAIAAJ&printsec=frontcover&img=1&zoom=2&source=gbs_api,http://bks8.books.google.com/books?id=0pEkAQAAIAAJ&printsec=frontcover&img=1&zoom=3&source=gbs_api,http://books.google.com/books?id=0pEkAQAAIAAJ&dq=isbn:9780131589407&hl=&cd=1&source=gbs_api
A Gift of Fire,"Social, Legal, and Ethical Issues in Computing",Sara Baase,9780134587790,QA76.9.C66 B3 1997,1997,"[This book] provides in-depth coverage of the challenge and implications of computer technology, including important issues such as the impact of computers on privacy, censorship of the Internet, government policy on encryption, protection of intellectual property in cyberspace, hacking and computer crime, risks from failures of computer systems, and ethical dilemmas faced by computer professionals and computer users.--Back cover.",http://bks8.books.google.com/books?id=r5gfAQAAIAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,http://bks8.books.google.com/books?id=r5gfAQAAIAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://bks8.books.google.com/books?id=r5gfAQAAIAAJ&printsec=frontcover&img=1&zoom=2&source=gbs_api,http://bks8.books.google.com/books?id=r5gfAQAAIAAJ&printsec=frontcover&img=1&zoom=3&source=gbs_api,http://books.google.com/books?id=r5gfAQAAIAAJ&dq=isbn:9780134587790&hl=&cd=1&source=gbs_api
Computers and Society,The Technology and Its Social Implications [with] Instructor's Guide,"Stanley Rothman, Charles John Mosmann",9780574210555,QA76.9.C66 R67 1976,1976-01-01,,http://bks2.books.google.com/books?id=pNwmAAAAMAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,http://bks2.books.google.com/books?id=pNwmAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://bks2.books.google.com/books?id=pNwmAAAAMAAJ&printsec=frontcover&img=1&zoom=2&source=gbs_api,http://bks2.books.google.com/books?id=pNwmAAAAMAAJ&printsec=frontcover&img=1&zoom=3&source=gbs_api,http://books.google.com/books?id=pNwmAAAAMAAJ&dq=isbn:9780574210555&hl=&cd=1&source=gbs_api
Introduction to Statistical Relational Learning,"","Lise Getoor, Ben Taskar",9780262072885,QA76.9.D3 I68 2007,2007,"Advanced statistical modeling and knowledge representation techniques for a newly emerging area of machine learning and probabilistic reasoning; includes introductory material, tutorials for different proposed approaches, and applications.",http://bks7.books.google.com/books?id=lSkIewOw2WoC&printsec=frontcover&img=1&zoom=5&edge=none&source=gbs_api,http://bks7.books.google.com/books?id=lSkIewOw2WoC&printsec=frontcover&img=1&zoom=1&edge=none&source=gbs_api,http://bks7.books.google.com/books?id=lSkIewOw2WoC&printsec=frontcover&img=1&zoom=2&edge=none&source=gbs_api,http://bks7.books.google.com/books?id=lSkIewOw2WoC&printsec=frontcover&img=1&zoom=3&edge=none&source=gbs_api,http://books.google.com/books?id=lSkIewOw2WoC&printsec=frontcover&dq=isbn:9780262072885&hl=&cd=1&source=gbs_api
Object Success,"A Manager's Guide to Object Orientation, Its Impact on the Corporation, and Its Use for Reengineering the Software Process",Bertrand Meyer,9780131928336,QA76.9.D3 M494 1995,1995,"Object frenzy; The ten key O-O concepts; The object-oriented lifecycle; But what about prototyping; Managing the transation; Nature and nurture: making reuse succed; The manager's role, 1: fundamentals; The manager's role, 2: technical manager.",http://bks0.books.google.com/books?id=lrFgQgAACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,http://bks0.books.google.com/books?id=lrFgQgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://bks0.books.google.com/books?id=lrFgQgAACAAJ&printsec=frontcover&img=1&zoom=2&source=gbs_api,http://bks0.books.google.com/books?id=lrFgQgAACAAJ&printsec=frontcover&img=1&zoom=3&source=gbs_api,http://books.google.com/books?id=lrFgQgAACAAJ&dq=isbn:9780131928336&hl=&cd=1&source=gbs_api
Principles of database systems,"",Jeffrey D. Ullman,9780914894360,QA76.9.D3 U44 1983,1983,,http://bks4.books.google.com/books?id=NslQAAAAMAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,http://bks4.books.google.com/books?id=NslQAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://bks4.books.google.com/books?id=NslQAAAAMAAJ&printsec=frontcover&img=1&zoom=2&source=gbs_api,http://bks4.books.google.com/books?id=NslQAAAAMAAJ&printsec=frontcover&img=1&zoom=3&source=gbs_api,http://books.google.com/books?id=NslQAAAAMAAJ&dq=isbn:9780914894360&hl=&cd=1&source=gbs_api
Formal Methods for Distributed Processing,A Survey of Object-Oriented Approaches,"Howard Bowman, John Derrick",9780521771849,QA76.9.D5 F662 2001,2001-10-22,A 2002 collection of comprehensive surveys by leading researchers that introduces and compares the major specification notations and modelling techniques.,http://bks0.books.google.com/books?id=qTNTSBen2NoC&printsec=frontcover&img=1&zoom=5&edge=none&source=gbs_api,http://bks0.books.google.com/books?id=qTNTSBen2NoC&printsec=frontcover&img=1&zoom=1&edge=none&source=gbs_api,http://bks0.books.google.com/books?id=qTNTSBen2NoC&printsec=frontcover&img=1&zoom=2&edge=none&source=gbs_api,http://bks0.books.google.com/books?id=qTNTSBen2NoC&printsec=frontcover&img=1&zoom=3&edge=none&source=gbs_api,http://books.google.com/books?id=qTNTSBen2NoC&printsec=frontcover&dq=isbn:9780521771849&hl=&cd=1&source=gbs_api
Distributed Computing,"Principles, Algorithms, and Systems","Ajay D. Kshemkalyani, Mukesh Singhal",9780521876346,QA76.9.D5 K74 2008,2008,,,,,,
Data structures and algorithms,"","Alfred V. Aho, John E. Hopcroft, Jeffrey D. Ullman",9780201000238,QA76.9.D35 A38 1983,1983-01-01,Data -- Data Structures.,http://bks7.books.google.com/books?id=k8pQAAAAMAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,http://bks7.books.google.com/books?id=k8pQAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://bks7.books.google.com/books?id=k8pQAAAAMAAJ&printsec=frontcover&img=1&zoom=2&source=gbs_api,http://bks7.books.google.com/books?id=k8pQAAAAMAAJ&printsec=frontcover&img=1&zoom=3&source=gbs_api,http://books.google.com/books?id=k8pQAAAAMAAJ&dq=isbn:9780201000238&hl=&cd=1&source=gbs_api
A Practical Introduction to Data Structures and Algorithm Analysis,Java Edition,Clifford A. Shaffer,9780136609117,QA76.9.D35 S45 1998,1998,"The author, Cliff Shaffer provides a superior learning tool for those who desire more rigorous data structures and an algorithm analysis book utilizing Java.While the author covers most of the standard data structures, he concentrates on teaching the principles required to select or design a data structure that will best solve a problem. The emphasis is on data structures, and algorithm analysis, not teaching Java. Java is utilized strictly as a tool to illustrate data structures concepts and only the minimal, useful subset of Java is included.",http://bks0.books.google.com/books?id=GBNRAAAAMAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,http://bks0.books.google.com/books?id=GBNRAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://bks0.books.google.com/books?id=GBNRAAAAMAAJ&printsec=frontcover&img=1&zoom=2&source=gbs_api,http://bks0.books.google.com/books?id=GBNRAAAAMAAJ&printsec=frontcover&img=1&zoom=3&source=gbs_api,http://books.google.com/books?id=GBNRAAAAMAAJ&dq=isbn:9780136609117&hl=&cd=1&source=gbs_api
Data Warehousing for Dummies,,Alan R. Simon,9780764501708,QA76.9.D37 S55 1997,1997,,,,,,
Beyond the desktop metaphor,designing integrated digital work environments,"Victor Kaptelinin, Mary P. Czerwinski",9780262113045,QA76.9.H85 B539 2007,2007-04-01,"Leading developers and researchers report on what the next generation of digital work environments may look like, analyzing the theory and practice of designing out of the box to facilitate multitasking, collaboration, and multiple technologies.",http://bks1.books.google.com/books?id=xOhQAAAAMAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,http://bks1.books.google.com/books?id=xOhQAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://bks1.books.google.com/books?id=xOhQAAAAMAAJ&printsec=frontcover&img=1&zoom=2&source=gbs_api,http://bks1.books.google.com/books?id=xOhQAAAAMAAJ&printsec=frontcover&img=1&zoom=3&source=gbs_api,http://books.google.com/books?id=xOhQAAAAMAAJ&dq=isbn:9780262113045&hl=&cd=1&source=gbs_api
The Essence of Human-Computer Interaction,"",Christine Faulkner,9780137519750,QA76.9.H85 F38 1998,1998,"This is a complete, practical guide to building computer systems that interact well with human beings and serve their needs.This interdisciplinary guide to human-computer interaction covers all the topics system designers need to know about, including human psychology, cognitive science and artificial intelligence. It includes many examples from everyday life and contemporary computer systems, as well as a wide variety of real-world interfacing problems and solutions, and practical experiments. It also contains up-to-date coverage of ergonomics and other health, safety and social issues associated with computer use.All computing and human factors professionals.",http://bks9.books.google.com/books?id=DtZQAAAAMAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,http://bks9.books.google.com/books?id=DtZQAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://bks9.books.google.com/books?id=DtZQAAAAMAAJ&printsec=frontcover&img=1&zoom=2&source=gbs_api,http://bks9.books.google.com/books?id=DtZQAAAAMAAJ&printsec=frontcover&img=1&zoom=3&source=gbs_api,http://books.google.com/books?id=DtZQAAAAMAAJ&dq=isbn:9780137519750&hl=&cd=1&source=gbs_api
The Humane Interface,New Directions for Designing Interactive Systems,Jef Raskin,9780201379372,QA76.9.H85 R37 2000,2000,"The honeymoon with digital technology is over: millions of users are tired of having to learn huge, arcane programs to perform the simplest tasks and have had enough of system crashes. In The Humane Interface, Jef Raskin--the legendary, controversial creator of the original Apple Macintosh project--shows that there is another path. The book presents breakthrough solutions for navigation, error management, and more, with detailed case studies from the author's own work.",http://bks8.books.google.com/books?id=D39vjmLfO3kC&printsec=frontcover&img=1&zoom=5&edge=none&source=gbs_api,http://bks8.books.google.com/books?id=D39vjmLfO3kC&printsec=frontcover&img=1&zoom=1&edge=none&source=gbs_api,http://bks8.books.google.com/books?id=D39vjmLfO3kC&printsec=frontcover&img=1&zoom=2&edge=none&source=gbs_api,http://bks8.books.google.com/books?id=D39vjmLfO3kC&printsec=frontcover&img=1&zoom=3&edge=none&source=gbs_api,http://books.google.com/books?id=D39vjmLfO3kC&printsec=frontcover&dq=isbn:9780201379372&hl=&cd=1&source=gbs_api
Designing the user interface,strategies for effective human-computer-interaction,Ben Shneiderman,9780201694970,QA76.9.H85 S54 1998,1998,"An introduction to user-interface design in which the author discusses the principles and practices needed to design effective interaction. It contains chapters on the World Wide Web, information visualization and computer-supported co-operative work.",http://bks4.books.google.com/books?id=VeVQAAAAMAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,http://bks4.books.google.com/books?id=VeVQAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://bks4.books.google.com/books?id=VeVQAAAAMAAJ&printsec=frontcover&img=1&zoom=2&source=gbs_api,http://bks4.books.google.com/books?id=VeVQAAAAMAAJ&printsec=frontcover&img=1&zoom=3&source=gbs_api,http://books.google.com/books?id=VeVQAAAAMAAJ&dq=isbn:9780201694970&hl=&cd=1&source=gbs_api
Discrete Mathematics,"","Kenneth A. Ross, Charles R. B. Wright",9780130961419,QA76.9.M35 R67 1999,1999-01,This edition focuses on adding a theme of how to do proofs and picking topics that tie better into the computer science world. Also included is a new section called Office Hours which stresses how to do proofs.,http://bks2.books.google.com/books?id=9MsZAQAAIAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,http://bks2.books.google.com/books?id=9MsZAQAAIAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://bks2.books.google.com/books?id=9MsZAQAAIAAJ&printsec=frontcover&img=1&zoom=2&source=gbs_api,http://bks2.books.google.com/books?id=9MsZAQAAIAAJ&printsec=frontcover&img=1&zoom=3&source=gbs_api,http://books.google.com/books?id=9MsZAQAAIAAJ&dq=isbn:9780130961419&hl=&cd=1&source=gbs_api
Framework Process Patterns,Lessons Learned Developing Application Frameworks,"James Carey, Brent Carlson",9780201731323,QA76.9.O35 C364 2002,2002,"The world's first patterns guide to building effective object-oriented software frameworks. -- Covers the entire range of development activities -- from initial requirements gathering to teamwork to documentation. -- How to avoid the traps and pitfalls of framework development. -- Includes a complete case study chapter that gives a real-world grounding to the book's patterns. To build effective frameworks, solid object-oriented development skills aren't enough: you need rules of thumb and patterns that have never appeared in any book -- until now. In this book, James Carey and Brent Carlson share the framework patterns they uncovered as architects for IBM's groundbreaking SanFrancisco and WebSphere Business Components projects. The solutions they describe cover the entire framework development process, from initial requirements gathering to teamwork to documentation. The authors begin by reviewing the role of frameworks and the techniques of conventional framework development; then introduce a running case study that presents a common domain and vocabulary for the patterns covered in this book. They then present a series of key patterns, each including descriptions, intent, context, motivation, examples, problems, solutions, tradeoffs, applicability, related patterns, and more. For all experienced software architects, software system developers, and application developers.",http://bks5.books.google.com/books?id=d-VQAAAAMAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,http://bks5.books.google.com/books?id=d-VQAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://bks5.books.google.com/books?id=d-VQAAAAMAAJ&printsec=frontcover&img=1&zoom=2&source=gbs_api,http://bks5.books.google.com/books?id=d-VQAAAAMAAJ&printsec=frontcover&img=1&zoom=3&source=gbs_api,http://books.google.com/books?id=d-VQAAAAMAAJ&dq=isbn:9780201731323&hl=&cd=1&source=gbs_api
Surviving object-oriented projects,a manager's guide,Alistair Cockburn,9780201498349,QA76.9.O35 C63 1998,1998,Indhold: Succes and failure ; Project expectations ; Selecting and setting up an 00 project ; Getting started ; Making corrections ; Advice from hindsight ; Expand to larger project ; Rechecking a case study ; Collected risk-reduction strategies ; Crib sheet.,http://bks9.books.google.com/books?id=ueVQAAAAMAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,http://bks9.books.google.com/books?id=ueVQAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://bks9.books.google.com/books?id=ueVQAAAAMAAJ&printsec=frontcover&img=1&zoom=2&source=gbs_api,http://bks9.books.google.com/books?id=ueVQAAAAMAAJ&printsec=frontcover&img=1&zoom=3&source=gbs_api,http://books.google.com/books?id=ueVQAAAAMAAJ&dq=isbn:9780201498349&hl=&cd=1&source=gbs_api
Cognitive Patterns,Problem-Solving Frameworks for Object Technology,"",9780521649988,QA76.9.O35 C64 1998,1998-04-28,Presents the concepts and terminology of cognitive patterns and modeling and explains the uniqueness of cognitive patterns as an approach in modeling business systems and processes.,http://bks3.books.google.com/books?id=iJzaumImZBEC&printsec=frontcover&img=1&zoom=5&edge=none&source=gbs_api,http://bks3.books.google.com/books?id=iJzaumImZBEC&printsec=frontcover&img=1&zoom=1&edge=none&source=gbs_api,http://bks3.books.google.com/books?id=iJzaumImZBEC&printsec=frontcover&img=1&zoom=2&edge=none&source=gbs_api,http://bks3.books.google.com/books?id=iJzaumImZBEC&printsec=frontcover&img=1&zoom=3&edge=none&source=gbs_api,http://books.google.com/books?id=iJzaumImZBEC&printsec=frontcover&dq=isbn:9780521649988&hl=&cd=1&source=gbs_api
